,depth-first,breadth-first,astar,weighted_astar_1.2,weighted_astar_1.5,weighted_astar_2,problem_size
0,,4.0,4.0,4.0,4.0,4.0,6
1,,6.0,6.0,6.0,6.0,6.0,7
2,,5.0,5.0,5.0,5.0,5.0,8
3,,6.0,6.0,6.0,6.0,6.0,9
4,,6.0,6.0,6.0,6.0,6.0,10
5,,,21.0,22.0,23.0,24.0,20
6,,,28.0,30.0,30.0,31.0,30
7,,,40.0,43.0,45.0,45.0,40
8,,,,44.0,48.0,50.0,45
9,,,,52.0,54.0,62.0,50
