,depth-first,breadth-first,astar,weighted-astar,weighted-astar,weighted-astar,problem_size
0,95.0,54.0,4.0,4.0,4.0,4.0,6
1,1482.0,1205.0,15.0,8.0,8.0,8.0,7
2,1418.0,1273.0,5.0,5.0,5.0,5.0,8
3,91592.0,4553.0,6.0,6.0,6.0,6.0,9
4,152212.0,18737.0,8.0,7.0,7.0,7.0,10
5,,,1671.0,200.0,53.0,40.0,20
6,,,6844.0,70.0,49.0,44.0,30
7,,,19897.0,475.0,62.0,59.0,40
8,,,22223.0,222.0,96.0,73.0,45
9,,,20000.0,776.0,98.0,100.0,50
